#,Item No.,Item Description,In Stock,Committed,Ordered,Available,Inventory UoM
201,AS016AF60120,0.16.A PORCELAIN 60X120 CM AGL,30.24,,,30.24,M2
202,AS016AFS10120,0.16.A PORCELAIN SKIRTING 10X120 CM AGL,,,,,PCS
203,AS016AFS1060,0.16.A PORCELAIN SKIRTING 10X60 CM AGL,,,,,PCS
204,AS016AFS860,0.16.A PORCELAIN SKIRTING 8X60 CM AGL,,,,,PCS
205,AS022LF30,022 LIGHT FLOOR 30X30 CM AGL,2650.64,102.72,,2547.92,M2
206,AS022LFS1030,022 LIGHT FLOOR SKIRTING 10X30 CM AGL,,,,,PCS
207,AS022LW2537,022 LIGHT WALL 25X37.5 CM AGL,1531.063,876,,655.063,M2
208,AS029CF60,0.29.C PORCELAIN 60X60 CM AGL,0.36,,,0.36,M2
209,AS029CFS1060,0.29.C PORCELAIN SKIRTING  10X60 CM AGL,1,,,1,PCS
210,AS1038LW3060,1038 LIGHT WALL 30X60 CM AGL,2.52,,,2.52,M2
211,AS192MF60,192 MATT FLOOR 60X60 CM - AGL,,,,,M2
212,AS192MS1060,192 MATT SKIRTING 9.7X60 CM - AGL,,,,,LINEAR METER
213,AS1996F30,1996 FLOOR 30X30 CM - AGL,,,,,M2
214,AS1996HLW3045,1996 HL WALL 30X45 CM - AGL,,,,,M2
215,AS1996LW3045,1996 LIGHT WALL 30X45 CM - AGL,,,,,M2
216,AS1997F30,1997 FLOOR 30X30 CM - AGL,,,,,M2
217,AS1997HLW3045,1997 HL WALL 30X45 CM - AGL,,,,,M2
218,AS1997LW3045,1997 LIGHT WALL 30X45 CM - AGL,,,,,M2
219,AS20122MF50,20122 MATT FLOOR 50X50 CM - AGL,0.25,,,0.25,M2
220,AS20122MS1050,20122 MATT SKIRTING 9.7X50 CM - AGL,,,,,LINEAR METER
221,AS2070DPHW3045,2070 DECOR PRIME H 30X45 CM - AGL INDIA,120.97,6.48,,114.49,M2
222,AS2070LF30,2070 LIGHT FLOOR 30X30 CM - AGL INDIA,0.09,,,0.09,M2
223,AS2070LW3045,2070 LIGHT WALL 30X45 CM - AGL INDIA,1413.94,48.735,,1365.205,M2
224,AS232MF60,232 MATT FLOOR 60X60 CM - AGL,0.36,,,0.36,M2
225,AS232MS1060,232 MATT SKIRTING 9.7X60 CM - AGL,,,,,LINEAR METER
226,AS505440,5054 FLOOR 40X40 CM AGL,0.32,,,0.32,M2
227,AS5054S1040,5054 SKIRTING 10X40 CM AGL,,,,,PCS
228,AS506340,5063 FLOOR 40X40 CM AGL,,,,,M2
229,AS7204DF30,7204 DIGITAL FLOOR 30X30 CM - AGL,1.78,,,1.78,M2
230,AS7204DW2537,7204 DIGITAL WALL 25X37.5 CM - AGL,271.18,,,271.18,M2
